alerts/fired_alerts,Access all fired alerts
licenser/pools,Access licenser pool information
licenser/pools/:name,Manage specific licenser pool
licenser/slaves,Access license master slaves
licenser/slaves/:name,Access specific license master slave
licenser/stacks,Access license stack configuration
licenser/stacks/:name,Access specific license stack configuration
messages,Manage system messages
messages/:name,Manage specific system message
properties,Access configuration files
properties/:file_name,Manage a configuration file
properties/:file_name/:stanza_name,Manage a configuration file stanza
properties/:file_name/:stanza_name/:key_name,Manage specific stanza in specific configuration file
receivers/simple,Use HTTP to send events
receivers/stream,Use socket to stream events
saved/eventtypes,Manage saved event types
saved/eventtypes/:name,Manage specific saved event type
saved/searches,Manage saved searches configuration
saved/searches/:name,Manage specific saved search
saved/searches/:name/acknowledge,Manage saved search alerting
saved/searches/:name/dispatch,Dispatch saved search
saved/searches/:name/history,Access saved search job history
saved/searches/:name/reschedule,Manage saved search job scheduling
saved/searches/:name/scheduled_times,Access saved search scheduled times
saved/searches/:name/suppress,Access saved search alerting state
scheduled/views,Access scheduled views for PDF delivery
scheduled/views/:name,Manage specific scheduled view
scheduled/views/:name/dispatch,Dispatch search for specific scheduled view
scheduled/views/:name/history,Access specific scheduled view job history
scheduled/views/:name/reschedule,Manage scheduled view scheduling
scheduled/views/:name/scheduled_times,Access specific scheduled view times
search/distributed/bundle-replication-files,Access distributed search bundle replication files
search/distributed/bundle-replication-files/:name,Access a search bundle replication file
search/distributed/config,Access distributed search options
search/distributed/peers,Manage distributed server peers
search/fields,Access search field configuration
search/fields/:field_name,Access specific search field configuration
search/fields/:field_name/tags,Manage tags associated with a search field
search/jobs,Manage search jobs
search/jobs/:search_id,Manage specific search job
search/jobs/:search_id/control,Execute search job control command
search/jobs/:search_id/events,Access events for specific search
search/jobs/:search_id/results,Access results of specific search
search/jobs/:search_id/results_preview,Access preview results for specific search
search/jobs/:search_id/searchlog,Access searchlog file for a search
search/jobs/:search_id/summary,Access getFieldsAndStats output of so-far-read events
search/jobs/:search_id/timeline,Access event distribution over time
search/jobs/export,Stream search results
search/parser,Access search language parsing services
search/tags,Access search time tags
search/tags/:tag_name,Manage specific search time tag
search/timeparser,Parse time argument
search/typeahead,Suggest search auto-completion strings
server/control,Access server controls
server/control/restart,Restart Splunk Enterprise server
server/info,Access server configuration
server/logger,Access logging categories
server/logger/:name,Manage specific logging category
server/roles,Access server role information
server/settings,Access server configuration
server/status,Access system status information
server/status/dispatch-artifacts,Access search job information
server/status/fishbucket,Access information about BTree database
server/status/limits/search-concurrency,Access search concurrency metrics
server/status/partitions-space,Access disk utilization information
server/status/resource-usage,Access resource utilization information
server/status/resource-usage/hostwide,Access host-level resource utilization info
server/status/resource-usage/splunk-processes,Access O/S resource utilization information
storage/passwords,Manage authentication credentials
storage/passwords/:name,Manage authentication credential
